Tiempo,CPU (%),RAM (MB),GPU (%),GPU Mem (MB),Red subida (KB/s),Red bajada (KB/s)
15:32:33,3.5,1252.961,6.7,274.0,0.0,0.0
15:32:35,2.2,1254.951,0.0,274.0,0.0,0.0
15:32:37,3.8,1254.732,6.6,274.0,0.0,0.0
15:32:39,5.5,1254.675,3.1,274.0,0.0,0.0
15:32:41,2.0,1245.208,1.6,274.0,0.0,0.0
15:32:43,2.0,1257.496,8.1,274.0,0.0,0.0
15:32:45,5.7,1260.615,10.2,274.0,0.0,0.0
15:32:47,4.0,1258.36,9.7,274.0,0.0,0.0
15:32:49,1.6,1267.111,0.8,274.0,0.0,0.0
15:32:51,3.6,1275.104,3.5,274.0,0.0,0.0
15:32:53,1.6,1292.266,6.7,274.0,190.0,0.0
15:32:55,1.6,1277.49,9.9,274.0,0.0,0.0
15:32:57,3.0,1280.661,2.6,274.0,0.0,0.0
15:32:59,0.0,1279.681,4.1,274.0,0.0,0.0
15:33:01,0.0,1263.578,0.0,274.0,0.0,0.0
15:33:03,1.4,1284.841,0.0,274.0,0.0,0.0
15:33:05,0.5,1288.049,9.1,274.0,0.0,0.0
15:33:07,3.1,1314.42,11.8,274.0,0.0,0.0
15:33:09,0.7,1290.204,4.6,274.0,0.0,0.0
15:33:11,0.0,1297.484,10.0,274.0,0.0,100.0
15:33:13,5.4,1296.461,6.8,274.0,15.0,85.0
15:33:15,2.0,1287.462,1.8,274.0,0.0,60.0
15:33:17,2.6,1312.918,6.8,274.0,0.0,0.0
15:33:19,0.0,1311.349,12.7,274.0,0.0,0.0
15:33:21,1.4,1314.081,4.8,274.0,0.0,0.0
15:33:23,2.7,1299.417,12.8,274.0,0.0,0.0
15:33:25,0.2,1324.879,0.0,274.0,0.0,0.0
15:33:27,3.3,1299.173,9.1,274.0,0.0,0.0
15:33:29,1.3,1321.4,5.4,274.0,0.0,0.0
15:33:31,1.9,1339.777,3.5,274.0,0.0,0.0
15:33:33,1.3,1310.307,5.5,274.0,0.0,0.0
15:33:35,6.2,1316.89,0.0,274.0,0.0,0.0
15:33:37,2.5,1325.89,3.9,274.0,0.0,0.0
15:33:39,0.4,1322.199,6.8,274.0,0.0,0.0
15:33:41,4.1,1314.068,12.4,274.0,0.0,0.0
15:33:43,0.1,1332.601,2.4,274.0,10.0,0.0
15:33:45,2.9,1323.632,1.0,274.0,0.0,0.0
15:33:47,0.0,1341.332,2.5,274.0,0.0,0.0
15:33:49,0.0,1329.742,9.6,274.0,0.0,0.0
15:33:51,2.9,1356.776,6.6,274.0,0.0,0.0
15:33:53,4.0,1335.784,2.4,274.0,0.0,0.0
15:33:55,2.8,1342.737,7.6,274.0,0.0,0.0
15:33:57,2.3,1356.433,5.5,274.0,0.0,0.0
15:33:59,1.9,1338.33,9.8,274.0,0.0,0.0
15:34:01,0.0,1355.253,1.5,274.0,0.0,0.0
15:34:03,1.1,1368.391,3.4,274.0,0.0,0.0
15:34:05,1.6,1341.585,3.0,274.0,0.0,0.0
15:34:07,4.6,1361.846,0.0,274.0,0.0,0.0
